FileName 	 Orbit 	 I/E 	 Pos 	 F/P 	 Ls 	 Loct 	 lat 	 lon 
MIR_2A_ORB010754_N2_E_P1_06_F 	 010754 	 E 	 06 	 F 	  187.30 	    6.12 	   26.74 	   40.88 
MIR_2A_ORB010775_N2_E_P1_06_F 	 010775 	 E 	 06 	 F 	  188.29 	    6.18 	   36.99 	  158.78 
MIR_2A_ORB010789_N1_I_P1_06_F 	 010789 	 I 	 06 	 F 	  188.94 	    4.68 	  -79.12 	  102.63 
MIR_2A_ORB010798_N2_E_P1_06_F 	 010798 	 E 	 06 	 F 	  189.38 	    6.28 	   45.13 	 -140.23 
MIR_2A_ORB010815_N1_I_P1_06_F 	 010815 	 I 	 06 	 F 	  190.17 	    3.63 	  -82.77 	   60.95 
MIR_2A_ORB010825_N2_E_P1_06_F 	 010825 	 E 	 06 	 F 	  190.66 	    6.42 	   52.81 	  166.64 
MIR_2A_ORB010838_N1_I_P1_06_F 	 010838 	 I 	 06 	 F 	  191.27 	    1.90 	  -84.69 	   95.12 
MIR_2A_ORB010867_N1_I_P1_06_F 	 010867 	 I 	 06 	 F 	  192.65 	   22.92 	  -84.54 	  -61.55 
MIR_2A_ORB010904_N1_E_P2_06_F 	 010904 	 E 	 06 	 F 	  194.44 	    6.98 	   66.43 	   67.72 
MIR_2A_ORB010922_N1_I_P2_06_F 	 010922 	 I 	 06 	 F 	  195.29 	   20.35 	  -79.09 	  121.84 
MIR_2A_ORB010943_N1_E_P2_06_F 	 010943 	 E 	 06 	 F 	  196.32 	    7.38 	   70.68 	   34.70 
MIR_2A_ORB010962_N1_I_P2_06_F 	 010962 	 I 	 06 	 F 	  197.22 	   19.70 	  -73.79 	   44.42 
MIR_2A_ORB010989_N1_I_P2_06_F 	 010989 	 I 	 06 	 F 	  198.53 	   19.42 	  -69.75 	  -14.39 
MIR_2A_ORB011007_N1_I_P2_06_F 	 011007 	 I 	 06 	 F 	  199.41 	   19.28 	  -66.82 	 -173.11 
MIR_2A_ORB011027_N1_E_P2_06_F 	 011027 	 E 	 06 	 F 	  200.40 	    8.55 	   75.97 	  161.91 
MIR_2A_ORB011045_N1_I_P2_06_F 	 011045 	 I 	 06 	 F 	  201.26 	   19.02 	  -59.72 	  172.50 
MIR_2A_ORB011074_N1_I_P1_06_F 	 011074 	 I 	 06 	 F 	  202.68 	   18.85 	  -53.29 	   57.59 
MIR_2A_ORB011091_N1_E_P1_06_F 	 011091 	 E 	 06 	 F 	  203.53 	    9.55 	   77.54 	  140.83 
MIR_2A_ORB011102_N2_E_P1_06_F 	 011102 	 E 	 06 	 F 	  204.07 	    9.72 	   77.64 	 -172.35 
MIR_2A_ORB011114_N1_I_P1_06_F 	 011114 	 I 	 06 	 F 	  204.65 	   18.62 	  -42.38 	  -13.92 
MIR_2A_ORB011124_N2_E_P1_06_F 	 011124 	 E 	 06 	 F 	  205.16 	   10.02 	   77.73 	  -78.93 
MIR_2A_ORB011136_N1_I_P1_06_F 	 011136 	 I 	 06 	 F 	  205.73 	   18.48 	  -35.05 	   72.59 
MIR_2A_ORB011154_N1_I_P1_06_F 	 011154 	 I 	 06 	 F 	  206.63 	   18.38 	  -27.95 	  -85.91 
MIR_2A_ORB011162_N2_E_P1_06_F 	 011162 	 E 	 06 	 F 	  207.04 	   10.42 	   77.54 	  -83.12 
MIR_2A_ORB011180_N2_E_P1_06_F 	 011180 	 E 	 06 	 F 	  207.93 	   10.52 	   77.30 	  121.94 
MIR_2A_ORB011190_N1_I_P1_06_F 	 011190 	 I 	 06 	 F 	  208.41 	   18.13 	  -10.45 	  -43.59 
MIR_2A_ORB011359_N2_E_P1_06_F 	 011359 	 E 	 06 	 F 	  216.90 	    6.23 	   12.33 	  -43.00 
MIR_2A_ORB011370_N1_I_P1_06_F 	 011370 	 I 	 06 	 F 	  217.44 	   14.67 	   70.25 	  134.44 
MIR_2A_ORB011378_N2_E_P1_06_F 	 011378 	 E 	 06 	 F 	  217.86 	    6.00 	    0.04 	  127.77 
MIR_2A_ORB011387_N1_I_P1_06_F 	 011387 	 I 	 06 	 F 	  218.30 	   14.57 	   70.26 	    5.27 
MIR_2A_ORB011408_N2_E_P1_06_F 	 011408 	 E 	 06 	 F 	  219.38 	    5.70 	  -15.74 	  -18.43 
MIR_2A_ORB011426_N2_E_P1_06_F 	 011426 	 E 	 06 	 F 	  220.29 	    5.52 	  -23.54 	 -177.89 
MIR_2A_ORB011437_N1_I_P1_06_F 	 011437 	 I 	 06 	 F 	  220.83 	   14.48 	   69.57 	    9.48 
MIR_2A_ORB011445_N2_E_P1_06_F 	 011445 	 E 	 06 	 F 	  221.26 	    5.33 	  -30.67 	   -6.17 
MIR_2A_ORB011455_N1_I_P1_06_F 	 011455 	 I 	 06 	 F 	  221.75 	   14.48 	   69.19 	 -146.82 
MIR_2A_ORB011475_N1_I_P1_06_F 	 011475 	 I 	 06 	 F 	  222.77 	   14.48 	   68.74 	   -0.36 
MIR_2A_ORB011499_N1_E_P1_06_F 	 011499 	 E 	 06 	 F 	  224.01 	    4.73 	  -46.45 	 -124.97 
MIR_2A_ORB011518_N1_I_P1_06_F 	 011518 	 I 	 06 	 F 	  224.96 	   14.55 	   67.63 	 -152.82 
MIR_2A_ORB011535_N1_E_P2_06_F 	 011535 	 E 	 06 	 F 	  225.85 	    4.22 	  -54.37 	  -85.48 
MIR_2A_ORB011555_N1_I_P2_06_F 	 011555 	 I 	 06 	 F 	  226.85 	   14.63 	   66.59 	 -133.00 
MIR_2A_ORB011604_N1_E_P2_06_F 	 011604 	 E 	 06 	 F 	  229.38 	    2.78 	  -65.34 	   73.58 
MIR_2A_ORB011620_N1_E_P2_06_F 	 011620 	 E 	 06 	 F 	  230.20 	    2.30 	  -67.12 	  -32.49 
MIR_2A_ORB011658_N1_E_P2_06_F 	 011658 	 E 	 06 	 F 	  232.16 	    0.92 	  -69.76 	  -63.18 
MIR_2A_ORB011671_N1_I_P2_06_F 	 011671 	 I 	 06 	 F 	  232.81 	   15.03 	   62.23 	  145.77 
MIR_2A_ORB011706_N1_I_P1_06_F 	 011706 	 I 	 06 	 F 	  234.62 	   15.25 	   60.13 	 -135.00 
MIR_2A_ORB011727_N1_I_P1_06_F 	 011727 	 I 	 06 	 F 	  235.70 	   15.38 	   58.73 	  -15.44 
MIR_2A_ORB011734_N2_E_P1_06_F 	 011734 	 E 	 06 	 F 	  236.08 	   21.75 	  -65.52 	 -130.07 
MIR_2A_ORB011751_N1_I_P1_06_F 	 011751 	 I 	 06 	 F 	  236.94 	   15.58 	   56.50 	   19.12 
MIR_2A_ORB011758_N2_E_P1_06_F 	 011758 	 E 	 06 	 F 	  237.32 	   20.92 	  -60.94 	 -110.58 
MIR_2A_ORB011781_N2_E_P1_06_F 	 011781 	 E 	 06 	 F 	  238.51 	   20.23 	  -54.77 	  -60.11 
MIR_2A_ORB011796_N1_I_P1_06_F 	 011796 	 I 	 06 	 F 	  239.27 	   16.08 	   49.94 	  175.54 
MIR_2A_ORB012102_N1_I_P1_06_F 	 012102 	 I 	 06 	 F 	  255.14 	    4.07 	  -46.78 	 -127.53 
MIR_2A_ORB012111_N2_E_P1_06_F 	 012111 	 E 	 06 	 F 	  255.62 	    8.50 	   52.82 	   32.76 
MIR_2A_ORB012126_N1_I_P1_06_F 	 012126 	 I 	 06 	 F 	  256.39 	    3.38 	  -54.09 	 -105.56 
MIR_2A_ORB012135_N2_E_P1_06_F 	 012135 	 E 	 06 	 F 	  256.87 	    8.80 	   55.27 	   68.82 
MIR_2A_ORB012156_N2_E_P1_06_F 	 012156 	 E 	 06 	 F 	  257.96 	    9.03 	   56.85 	 -170.03 
MIR_2A_ORB012178_N1_I_P1_06_F 	 012178 	 I 	 06 	 F 	  259.09 	    1.65 	  -62.99 	  177.81 
MIR_2A_ORB012196_N1_E_P1_06_F 	 012196 	 E 	 06 	 F 	  260.04 	    9.32 	   58.39 	  126.92 
MIR_2A_ORB012213_N1_I_P1_06_F 	 012213 	 I 	 06 	 F 	  260.90 	    0.35 	  -64.95 	 -125.25 
MIR_2A_ORB012250_N1_E_P2_06_F 	 012250 	 E 	 06 	 F 	  262.84 	    9.57 	   59.43 	   21.74 
MIR_2A_ORB012262_N1_E_P2_06_F 	 012262 	 E 	 06 	 F 	  263.46 	    9.58 	   59.53 	   38.01 
MIR_2A_ORB012280_N1_I_P2_06_F 	 012280 	 I 	 06 	 F 	  264.37 	   22.05 	  -61.73 	   78.84 
MIR_2A_ORB012297_N1_E_P2_06_F 	 012297 	 E 	 06 	 F 	  265.27 	    9.62 	   59.58 	  114.63 
MIR_2A_ORB012315_N1_I_P2_06_F 	 012315 	 I 	 06 	 F 	  266.18 	   21.13 	  -57.27 	  141.31 
MIR_2A_ORB012334_N1_I_P2_06_F 	 012334 	 I 	 06 	 F 	  267.16 	   20.72 	  -54.24 	  -49.88 
MIR_2A_ORB012349_N1_I_P2_06_F 	 012349 	 I 	 06 	 F 	  267.94 	   20.42 	  -51.58 	 -124.54 
MIR_2A_ORB012370_N1_E_P2_06_F 	 012370 	 E 	 06 	 F 	  269.04 	    9.52 	   58.98 	  179.44 
MIR_2A_ORB012387_N1_I_P1_06_F 	 012387 	 I 	 06 	 F 	  269.90 	   19.77 	  -43.59 	 -144.43 
MIR_2A_ORB012407_N1_E_P1_06_F 	 012407 	 E 	 06 	 F 	  270.95 	    9.37 	   58.16 	 -164.10 
MIR_2A_ORB012424_N1_I_P1_06_F 	 012424 	 I 	 06 	 F 	  271.80 	   19.22 	  -34.00 	 -134.16 
MIR_2A_ORB012434_N1_E_P1_06_F 	 012434 	 E 	 06 	 F 	  272.33 	    9.18 	   57.16 	  138.84 
MIR_2A_ORB012447_N1_I_P1_06_F 	 012447 	 I 	 06 	 F 	  272.99 	   18.92 	  -26.93 	  -78.88 
MIR_2A_ORB012455_N2_E_P1_06_F 	 012455 	 E 	 06 	 F 	  273.41 	    9.03 	   56.19 	 -105.83 
MIR_2A_ORB012473_N2_E_P1_06_F 	 012473 	 E 	 06 	 F 	  274.34 	    8.87 	   54.98 	   95.22 
MIR_2A_ORB012492_N2_E_P1_06_F 	 012492 	 E 	 06 	 F 	  275.31 	    8.65 	   53.29 	  -93.05 
MIR_2A_ORB012511_N2_E_P1_06_F 	 012511 	 E 	 06 	 F 	  276.28 	    8.40 	   51.02 	   78.11 
MIR_2A_ORB012632_N2_E_P1_06_F 	 012632 	 E 	 06 	 F 	  282.45 	    6.47 	   14.42 	  175.98 
MIR_2A_ORB012644_N1_I_P1_06_F 	 012644 	 I 	 06 	 F 	  283.04 	   15.97 	   47.42 	  -18.02 
MIR_2A_ORB012653_N2_E_P1_06_F 	 012653 	 E 	 06 	 F 	  283.51 	    6.17 	    5.08 	  -71.45 
MIR_2A_ORB012708_N1_I_P1_06_F 	 012708 	 I 	 06 	 F 	  286.28 	   15.10 	   56.43 	  -67.45 
MIR_2A_ORB012809_N1_I_P2_06_F 	 012809 	 I 	 06 	 F 	  291.34 	   14.48 	   61.03 	  -93.96 
MIR_2A_ORB012826_N1_E_P2_06_F 	 012826 	 E 	 06 	 F 	  292.21 	    3.83 	  -51.22 	  -31.30 
MIR_2A_ORB012843_N1_E_P2_06_F 	 012843 	 E 	 06 	 F 	  293.05 	    3.55 	  -54.48 	 -163.38 
MIR_2A_ORB012875_N1_I_P2_06_F 	 012875 	 I 	 06 	 F 	  294.63 	   14.47 	   61.77 	  172.69 
MIR_2A_ORB012892_N1_E_P2_06_F 	 012892 	 E 	 06 	 F 	  295.49 	    2.48 	  -62.25 	 -144.81 
MIR_2A_ORB012910_N1_I_P2_06_F 	 012910 	 I 	 06 	 F 	  296.36 	   14.55 	   61.76 	 -109.99 
MIR_2A_ORB012929_N1_I_P2_06_F 	 012929 	 I 	 06 	 F 	  297.30 	   14.63 	   61.59 	   66.17 
MIR_2A_ORB012963_N1_E_P2_06_F 	 012963 	 E 	 06 	 F 	  298.99 	    0.18 	  -68.04 	  -55.91 
MIR_2A_ORB012980_N1_I_P1_06_F 	 012980 	 I 	 06 	 F 	  299.80 	   14.95 	   60.42 	   47.91 
MIR_2A_ORB012998_N1_E_P1_06_F 	 012998 	 E 	 06 	 F 	  300.70 	   22.82 	  -67.51 	   -0.16 
MIR_2A_ORB013016_N1_I_P1_06_F 	 013016 	 I 	 06 	 F 	  301.56 	   15.28 	   58.66 	  100.00 
