FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb011127_n2_e_p1_04_f 	 011127 	 e 	 04 	 f 	    205.310 	     10.033 	     77.689 	   -164.799 
mir_2a_orb011140_n1_i_p1_04_f 	 011140 	 i 	 04 	 f 	    205.930 	     18.467 	    -33.497 	    -42.630 
mir_2a_orb011157_n1_i_p1_04_f 	 011157 	 i 	 04 	 f 	    206.770 	     18.367 	    -26.679 	   -172.318 
mir_2a_orb011165_n2_e_p1_04_f 	 011165 	 e 	 04 	 f 	    207.180 	     10.383 	     77.420 	   -169.849 
mir_2a_orb011175_n1_i_p1_04_f 	 011175 	 i 	 04 	 f 	    207.670 	     18.250 	    -18.531 	     28.993 
mir_2a_orb011183_n2_e_p1_04_f 	 011183 	 e 	 04 	 f 	    208.080 	     10.483 	     77.174 	     35.127 
mir_2a_orb011192_n1_i_p1_04_f 	 011192 	 i 	 04 	 f 	    208.510 	     18.117 	     -9.327 	   -101.283 
mir_2a_orb011200_n2_e_p1_04_f 	 011200 	 e 	 04 	 f 	    208.920 	     10.517 	     76.891 	    -91.864 
mir_2a_orb011211_n1_i_p1_04_f 	 011211 	 i 	 04 	 f 	    209.460 	     17.950 	      2.185 	     70.401 
mir_2a_orb011218_n2_e_p1_04_f 	 011218 	 e 	 04 	 f 	    209.820 	     10.433 	     76.390 	    110.280 
mir_2a_orb011229_n1_i_p1_04_f 	 011229 	 i 	 04 	 f 	    210.360 	     17.750 	     15.185 	    -89.912 
mir_2a_orb011244_n1_i_p1_04_f 	 011244 	 i 	 04 	 f 	    211.110 	     17.533 	     26.756 	   -164.255 
mir_2a_orb011254_n2_e_p1_04_f 	 011254 	 e 	 04 	 f 	    211.610 	      9.683 	     74.089 	    145.956 
mir_2a_orb011335_n1_i_p1_04_f 	 011335 	 i 	 04 	 f 	    215.670 	     15.083 	     69.132 	     64.961 
mir_2a_orb011344_n2_e_p1_04_f 	 011344 	 e 	 04 	 f 	    216.140 	      6.433 	     23.110 	     31.175 
mir_2a_orb011354_n1_i_p1_04_f 	 011354 	 i 	 04 	 f 	    216.630 	     14.783 	     70.143 	   -124.845 
mir_2a_orb011361_n2_e_p1_04_f 	 011361 	 e 	 04 	 f 	    217.000 	      6.200 	     10.949 	   -100.837 
mir_2a_orb011372_n1_i_p1_04_f 	 011372 	 i 	 04 	 f 	    217.540 	     14.650 	     70.270 	     76.808 
mir_2a_orb011380_n2_e_p1_04_f 	 011380 	 e 	 04 	 f 	    217.960 	      5.983 	     -1.115 	     70.022 
mir_2a_orb011390_n1_i_p1_04_f 	 011390 	 i 	 04 	 f 	    218.450 	     14.550 	     70.256 	    -81.058 
mir_2a_orb011397_n2_e_p1_04_f 	 011397 	 e 	 04 	 f 	    218.820 	      5.800 	    -10.434 	    -60.920 
mir_2a_orb011411_n2_e_p1_04_f 	 011411 	 e 	 04 	 f 	    219.530 	      5.667 	    -17.066 	   -104.974 
mir_2a_orb011421_n1_i_p1_04_f 	 011421 	 i 	 04 	 f 	    220.020 	     14.483 	     69.855 	    108.632 
mir_2a_orb011429_n2_e_p1_04_f 	 011429 	 e 	 04 	 f 	    220.440 	      5.483 	    -24.832 	     95.504 
mir_2a_orb011440_n1_i_p1_04_f 	 011440 	 i 	 04 	 f 	    220.990 	     14.467 	     69.513 	    -76.618 
mir_2a_orb011458_n1_i_p1_04_f 	 011458 	 i 	 04 	 f 	    221.900 	     14.483 	     69.134 	    127.084 
mir_2a_orb011466_n2_e_p1_04_f 	 011466 	 e 	 04 	 f 	    222.320 	      5.117 	    -37.575 	    107.743 
mir_2a_orb011478_n1_i_p1_04_f 	 011478 	 i 	 04 	 f 	    222.920 	     14.483 	     68.719 	    -86.579 
mir_2a_orb011505_n1_i_p1_04_f 	 011505 	 i 	 04 	 f 	    224.300 	     14.533 	     67.989 	   -140.291 
mir_2a_orb011523_n1_e_p1_04_f 	 011523 	 e 	 04 	 f 	    225.230 	      4.400 	    -51.915 	    -98.469 
mir_2a_orb011543_n1_i_p2_04_f 	 011543 	 i 	 04 	 f 	    226.240 	     14.600 	     66.948 	   -149.223 
mir_2a_orb011559_n1_i_p2_04_f 	 011559 	 i 	 04 	 f 	    227.060 	     14.633 	     66.499 	    112.312 
mir_2a_orb011590_n1_i_p2_04_f 	 011590 	 i 	 04 	 f 	    228.650 	     14.717 	     65.523 	    -55.650 
mir_2a_orb011608_n1_e_p2_04_f 	 011608 	 e 	 04 	 f 	    229.590 	      2.667 	    -65.838 	    -42.944 
mir_2a_orb011628_n1_i_p2_04_f 	 011628 	 i 	 04 	 f 	    230.600 	     14.850 	     64.137 	    -63.667 
mir_2a_orb011645_n1_e_p2_04_f 	 011645 	 e 	 04 	 f 	    231.490 	      1.433 	    -69.132 	    -42.553 
mir_2a_orb011676_n1_e_p2_04_f 	 011676 	 e 	 04 	 f 	    233.090 	      0.167 	    -70.025 	    129.403 
mir_2a_orb011694_n1_i_p1_04_f 	 011694 	 i 	 04 	 f 	    234.000 	     15.167 	     60.891 	   -151.916 
mir_2a_orb011714_n1_e_p1_04_f 	 011714 	 e 	 04 	 f 	    235.050 	     22.533 	    -68.086 	     95.233 
