FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb004127_n1_i_p1_04_p 	 004127 	 i 	 04 	 p 	    276.640 	      4.067 	    -46.020 	     24.169 
mir_2a_orb004133_n2_e_p1_04_p 	 004133 	 e 	 04 	 p 	    276.960 	      8.400 	     51.028 	    -90.515 
mir_2a_orb004152_n1_i_p1_04_p 	 004152 	 i 	 04 	 p 	    277.910 	      3.300 	    -54.277 	     16.675 
mir_2a_orb004180_n1_i_p1_04_p 	 004180 	 i 	 04 	 p 	    279.340 	      2.333 	    -60.363 	    -79.837 
mir_2a_orb004223_n1_i_p1_04_p 	 004223 	 i 	 04 	 p 	    281.520 	      0.667 	    -64.917 	    102.765 
mir_2a_orb004252_n1_e_p1_04_p 	 004252 	 e 	 04 	 p 	    283.010 	      9.333 	     58.762 	    111.558 
mir_2a_orb004268_n1_e_p1_04_p 	 004268 	 e 	 04 	 p 	    283.820 	      9.383 	     59.183 	     13.742 
mir_2a_orb004282_n1_e_p1_04_p 	 004282 	 e 	 04 	 p 	    284.530 	      9.400 	     59.388 	    -27.294 
mir_2a_orb004296_n1_e_p1_04_p 	 004296 	 e 	 04 	 p 	    285.240 	      9.433 	     59.596 	    -68.347 
mir_2a_orb004310_n1_e_p1_04_p 	 004310 	 e 	 04 	 p 	    285.940 	      9.450 	     59.812 	   -109.376 
mir_2a_orb004324_n1_e_p1_04_p 	 004324 	 e 	 04 	 p 	    286.650 	      9.450 	     59.960 	   -150.591 
mir_2a_orb004339_n1_i_p1_04_p 	 004339 	 i 	 04 	 p 	    287.380 	     20.817 	    -56.486 	    -40.048 
mir_2a_orb004355_n1_i_p1_04_p 	 004355 	 i 	 04 	 p 	    288.190 	     20.483 	    -53.763 	   -143.877 
mir_2a_orb004369_n1_i_p1_04_p 	 004369 	 i 	 04 	 p 	    288.890 	     20.200 	    -51.050 	    170.542 
mir_2a_orb004384_n1_e_p1_04_p 	 004384 	 e 	 04 	 p 	    289.660 	      9.367 	     60.024 	    -72.019 
mir_2a_orb004395_n1_i_p1_04_p 	 004395 	 i 	 04 	 p 	    290.190 	     19.750 	    -45.365 	    138.146 
mir_2a_orb004409_n1_i_p1_04_p 	 004409 	 i 	 04 	 p 	    290.890 	     19.517 	    -41.961 	     93.374 
mir_2a_orb004425_n1_i_p1_04_p 	 004425 	 i 	 04 	 p 	    291.690 	     19.283 	    -37.699 	     -8.992 
mir_2a_orb004442_n1_e_p1_04_p 	 004442 	 e 	 04 	 p 	    292.550 	      9.117 	     59.177 	     61.421 
mir_2a_orb004451_n1_i_p1_04_p 	 004451 	 i 	 04 	 p 	    292.980 	     18.933 	    -29.815 	    -40.110 
mir_2a_orb004457_n2_e_p1_04_p 	 004457 	 e 	 04 	 p 	    293.300 	      9.017 	     58.658 	    -10.271 
mir_2a_orb004467_n1_i_p1_04_p 	 004467 	 i 	 04 	 p 	    293.780 	     18.717 	    -24.397 	   -142.173 
mir_2a_orb004473_n2_e_p1_04_p 	 004473 	 e 	 04 	 p 	    294.090 	      8.900 	     58.037 	   -110.796 
mir_2a_orb004487_n2_e_p1_04_p 	 004487 	 e 	 04 	 p 	    294.790 	      8.750 	     57.152 	   -154.363 
mir_2a_orb004495_n1_i_p1_04_p 	 004495 	 i 	 04 	 p 	    295.170 	     18.367 	    -13.488 	    129.111 
mir_2a_orb004503_n2_e_p1_04_p 	 004503 	 e 	 04 	 p 	    295.580 	      8.600 	     56.015 	    104.349 
mir_2a_orb004511_n1_i_p1_04_p 	 004511 	 i 	 04 	 p 	    295.960 	     18.167 	     -6.633 	     26.991 
mir_2a_orb004517_n2_e_p1_04_p 	 004517 	 e 	 04 	 p 	    296.270 	      8.417 	     54.565 	     60.184 
mir_2a_orb004527_n1_i_p1_04_p 	 004527 	 i 	 04 	 p 	    296.750 	     17.950 	      0.972 	    -75.423 
mir_2a_orb004546_n1_i_p1_04_p 	 004546 	 i 	 04 	 p 	    297.690 	     17.700 	     10.344 	     95.321 
mir_2a_orb004553_n2_e_p1_04_p 	 004553 	 e 	 04 	 p 	    298.050 	      7.883 	     48.903 	     99.591 
mir_2a_orb004565_n1_i_p1_04_p 	 004565 	 i 	 04 	 p 	    298.620 	     17.400 	     20.162 	    -94.395 
mir_2a_orb004572_n2_e_p1_04_p 	 004572 	 e 	 04 	 p 	    298.980 	      7.550 	     44.165 	    -90.381 
mir_2a_orb004582_n1_i_p1_04_p 	 004582 	 i 	 04 	 p 	    299.460 	     17.133 	     28.506 	    133.552 
mir_2a_orb004590_n2_e_p1_04_p 	 004590 	 e 	 04 	 p 	    299.860 	      7.233 	     38.263 	    108.311 
mir_2a_orb004602_n1_i_p1_04_p 	 004602 	 i 	 04 	 p 	    300.440 	     16.783 	     37.663 	    -85.840 
mir_2a_orb004621_n1_i_p1_04_p 	 004621 	 i 	 04 	 p 	    301.370 	     16.433 	     44.794 	     83.716 
mir_2a_orb004629_n2_e_p1_04_p 	 004629 	 e 	 04 	 p 	    301.770 	      6.583 	     21.098 	     59.100 
mir_2a_orb004639_n1_i_p1_04_p 	 004639 	 i 	 04 	 p 	    302.250 	     16.100 	     50.296 	    -77.820 
mir_2a_orb004652_n1_i_p1_04_p 	 004652 	 i 	 04 	 p 	    302.880 	     15.867 	     53.437 	    -94.269 
mir_2a_orb004659_n2_e_p1_04_p 	 004659 	 e 	 04 	 p 	    303.230 	      6.167 	      6.026 	    -88.496 
mir_2a_orb004671_n1_i_p1_04_p 	 004671 	 i 	 04 	 p 	    303.800 	     15.567 	     56.852 	     76.263 
mir_2a_orb004686_n1_i_p1_04_p 	 004686 	 i 	 04 	 p 	    304.530 	     15.367 	     58.873 	      2.998 
mir_2a_orb004694_n2_e_p1_04_p 	 004694 	 e 	 04 	 p 	    304.930 	      5.733 	    -10.832 	    -19.577 
mir_2a_orb004704_n1_i_p1_04_p 	 004704 	 i 	 04 	 p 	    305.400 	     15.150 	     60.788 	   -156.475 
mir_2a_orb004712_n2_e_p1_04_p 	 004712 	 e 	 04 	 p 	    305.800 	      5.517 	    -18.597 	   -179.194 
mir_2a_orb004721_n1_i_p1_04_p 	 004721 	 i 	 04 	 p 	    306.220 	     15.000 	     62.149 	     73.507 
mir_2a_orb004728_n2_e_p1_04_p 	 004728 	 e 	 04 	 p 	    306.580 	      5.350 	    -24.989 	     79.013 
mir_2a_orb004736_n1_i_p1_04_p 	 004736 	 i 	 04 	 p 	    306.950 	     14.900 	     62.994 	      1.846 
mir_2a_orb004742_n2_e_p1_04_p 	 004742 	 e 	 04 	 p 	    307.250 	      5.200 	    -30.006 	     35.052 
mir_2a_orb004757_n2_e_p1_04_p 	 004757 	 e 	 04 	 p 	    307.970 	      5.033 	    -35.035 	    -37.795 
mir_2a_orb004771_n1_i_p1_04_p 	 004771 	 i 	 04 	 p 	    308.630 	     14.717 	     64.521 	     75.525 
mir_2a_orb004786_n1_e_p1_04_p 	 004786 	 e 	 04 	 p 	    309.360 	      4.700 	    -43.566 	   -154.624 
mir_2a_orb004802_n1_e_p1_04_p 	 004802 	 e 	 04 	 p 	    310.130 	      4.500 	    -47.818 	    103.445 
mir_2a_orb004821_n1_i_p1_04_p 	 004821 	 i 	 04 	 p 	    311.020 	     14.700 	     65.480 	     81.410 
mir_2a_orb004836_n1_e_p1_04_p 	 004836 	 e 	 04 	 p 	    311.750 	      4.050 	    -55.498 	   -158.605 
mir_2a_orb004853_n1_i_p1_04_p 	 004853 	 i 	 04 	 p 	    312.540 	     14.783 	     65.576 	   -114.798 
mir_2a_orb004868_n1_e_p1_04_p 	 004868 	 e 	 04 	 p 	    313.270 	      3.517 	    -61.635 	     -4.361 
